Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
Northern Ireland,95NN01S2,2,,,
Northern Ireland,95NN02W1,5,,,
Northern Ireland,95NN03S1,4,,,
Northern Ireland,95NN03S2,3,,,
Northern Ireland,95NN04W1,1,,,
Northern Ireland,95NN05W1,2,,,
Northern Ireland,95NN06S1,3,,,
Northern Ireland,95NN06S2,3,,,
Northern Ireland,95NN07S1,3,,,
Northern Ireland,95NN07S2,2,,,
Northern Ireland,95NN08S1,5,,,
Northern Ireland,95NN08S2,5,,,
Northern Ireland,95NN09S1,5,,,
Northern Ireland,95NN09S2,5,,,
Northern Ireland,95NN10S1,5,,,
Northern Ireland,95NN10S2,5,,,
Northern Ireland,95NN11S1,3,,,
Northern Ireland,95NN11S2,5,,,
Northern Ireland,95NN12W1,3,,,
Northern Ireland,95NN13W1,5,,,
Northern Ireland,95NN14S1,3,,,
Northern Ireland,95NN14S2,2,,,
Northern Ireland,95NN15W1,2,,,
Northern Ireland,95NN16S1,5,,,
Northern Ireland,95NN16S2,4,,,
Northern Ireland,95NN17W1,2,,,
Northern Ireland,95NN18S1,4,,,
Northern Ireland,95NN18S2,5,,,
Northern Ireland,95NN19S1,4,,,
Northern Ireland,95NN19S2,5,,,
Northern Ireland,95NN20W1,4,,,
Northern Ireland,95NN21W1,5,,,
Northern Ireland,95NN22W1,5,,,
Northern Ireland,95NN23S1,4,,,
Northern Ireland,95NN23S2,5,,,
Northern Ireland,95OO01W1,4,,,
Northern Ireland,95OO02W1,5,,,
Northern Ireland,95OO03W1,3,,,
Northern Ireland,95OO04W1,4,,,
Northern Ireland,95OO05W1,1,,,
Northern Ireland,95OO06W1,4,,,
Northern Ireland,95OO07W1,5,,,
Northern Ireland,95OO08W1,5,,,
Northern Ireland,95OO09W1,3,,,
Northern Ireland,95OO10W1,4,,,
Northern Ireland,95OO11W1,3,,,
Northern Ireland,95OO12W1,3,,,
Northern Ireland,95OO13W1,2,,,
Northern Ireland,95OO14W1,5,,,
Northern Ireland,95OO15W1,2,,,
Northern Ireland,95OO16W1,3,,,
Northern Ireland,95OO17W1,3,,,
Northern Ireland,95OO18W1,4,,,
Northern Ireland,95OO19W1,4,,,
Northern Ireland,95OO20W1,3,,,
Northern Ireland,95OO21W1,4,,,
Northern Ireland,95OO22W1,5,,,
Northern Ireland,95PP01W1,5,,,
Northern Ireland,95PP02W1,5,,,
Northern Ireland,95PP03W1,4,,,
Northern Ireland,95PP04W1,5,,,
Northern Ireland,95PP05W1,4,,,
Northern Ireland,95PP06S1,3,,,
Northern Ireland,95PP06S2,5,,,
Northern Ireland,95PP07W1,5,,,
Northern Ireland,95PP08W1,4,,,
Northern Ireland,95PP09W1,2,,,
Northern Ireland,95PP10W1,5,,,
Northern Ireland,95PP11W1,4,,,
Northern Ireland,95PP12W1,5,,,
Northern Ireland,95PP13W1,3,,,
Northern Ireland,95PP14S1,3,,,
Northern Ireland,95PP14S2,3,,,
Northern Ireland,95PP15W1,4,,,
Northern Ireland,95PP16W1,5,,,
Northern Ireland,95PP17W1,3,,,
Northern Ireland,95PP18W1,5,,,
Northern Ireland,95PP19W1,4,,,
Northern Ireland,95PP20W1,4,,,
Northern Ireland,95PP21W1,5,,,
Northern Ireland,95PP22W1,5,,,
Northern Ireland,95PP23W1,3,,,
Northern Ireland,95QQ01W1,3,,,
Northern Ireland,95QQ02W1,4,,,
Northern Ireland,95QQ03W1,1,,,
Northern Ireland,95QQ04W1,1,,,
Northern Ireland,95QQ05W1,5,,,
Northern Ireland,95QQ06W1,3,,,
Northern Ireland,95QQ07W1,3,,,
Northern Ireland,95QQ08W1,2,,,
Northern Ireland,95QQ09W1,3,,,
Northern Ireland,95QQ10W1,4,,,
Northern Ireland,95QQ11W1,4,,,
Northern Ireland,95QQ12W1,4,,,
Northern Ireland,95QQ13W1,4,,,
Northern Ireland,95QQ14S1,2,,,
Northern Ireland,95QQ14S2,5,,,
Northern Ireland,95QQ15W1,2,,,
Northern Ireland,95RR01S1,4,,,
Northern Ireland,95RR01S2,4,,,
Northern Ireland,95RR02W1,4,,,
Northern Ireland,95RR03W1,1,,,
Northern Ireland,95RR04W1,4,,,
Northern Ireland,95RR05S1,5,,,
Northern Ireland,95RR05S2,1,,,
Northern Ireland,95RR06W1,4,,,
Northern Ireland,95RR07W1,4,,,
Northern Ireland,95RR08W1,4,,,
Northern Ireland,95RR09S1,4,,,
Northern Ireland,95RR09S2,1,,,
Northern Ireland,95RR10W1,1,,,
Northern Ireland,95RR11W1,4,,,
Northern Ireland,95RR12W1,5,,,
Northern Ireland,95RR13W1,2,,,
Northern Ireland,95RR14W1,4,,,
Northern Ireland,95RR15W1,4,,,
Northern Ireland,95SS01S1,5,,,
Northern Ireland,95SS01S2,3,,,
Northern Ireland,95SS02S1,4,,,
Northern Ireland,95SS02S2,5,,,
Northern Ireland,95SS03S1,5,,,
Northern Ireland,95SS03S2,5,,,
Northern Ireland,95SS04S1,3,,,
Northern Ireland,95SS04S2,3,,,
Northern Ireland,95SS04S3,2,,,
Northern Ireland,95SS05S1,2,,,
Northern Ireland,95SS05S2,5,,,
Northern Ireland,95SS06S1,1,,,
Northern Ireland,95SS06S2,1,,,
Northern Ireland,95SS06S3,1,,,
Northern Ireland,95SS07S1,1,,,
Northern Ireland,95SS07S2,2,,,
Northern Ireland,95SS07S3,3,,,
Northern Ireland,95SS08S1,5,,,
Northern Ireland,95SS08S2,4,,,
Northern Ireland,95SS09S1,5,,,
Northern Ireland,95SS09S2,5,,,
Northern Ireland,95SS10S1,5,,,
Northern Ireland,95SS10S2,5,,,
Northern Ireland,95SS11S1,4,,,
Northern Ireland,95SS11S2,3,,,
Northern Ireland,95SS12W1,5,,,
Northern Ireland,95SS13S1,1,,,
Northern Ireland,95SS13S2,1,,,
Northern Ireland,95SS14S1,1,,,
Northern Ireland,95SS14S2,5,,,
Northern Ireland,95SS15S1,5,,,
Northern Ireland,95SS15S2,5,,,
Northern Ireland,95SS16S1,5,,,
Northern Ireland,95SS16S2,2,,,
Northern Ireland,95SS17S1,2,,,
Northern Ireland,95SS17S2,1,,,
Northern Ireland,95SS18S1,1,,,
Northern Ireland,95SS18S2,4,,,
Northern Ireland,95SS19S1,4,,,
Northern Ireland,95SS19S2,1,,,
Northern Ireland,95SS20W1,5,,,
Northern Ireland,95SS21S1,2,,,
Northern Ireland,95SS21S2,5,,,
Northern Ireland,95SS22S1,1,,,
Northern Ireland,95SS22S2,5,,,
Northern Ireland,95SS23S1,4,,,
Northern Ireland,95SS23S2,3,,,
Northern Ireland,95SS24S1,5,,,
Northern Ireland,95SS24S2,4,,,
Northern Ireland,95SS25W1,1,,,
Northern Ireland,95SS26S1,1,,,
Northern Ireland,95SS26S2,4,,,
Northern Ireland,95SS27W1,3,,,
Northern Ireland,95SS28W1,1,,,
Northern Ireland,95SS29S1,1,,,
Northern Ireland,95SS29S2,1,,,
Northern Ireland,95SS30S1,5,,,
Northern Ireland,95SS30S2,5,,,
Northern Ireland,95TT01W1,5,,,
Northern Ireland,95TT02W1,3,,,
Northern Ireland,95TT03S1,2,,,
Northern Ireland,95TT03S2,3,,,
Northern Ireland,95TT04W1,4,,,
Northern Ireland,95TT05S1,5,,,
Northern Ireland,95TT05S2,3,,,
Northern Ireland,95TT06W1,4,,,
Northern Ireland,95TT07W1,5,,,
Northern Ireland,95TT08W1,5,,,
Northern Ireland,95TT09S1,5,,,
Northern Ireland,95TT09S2,5,,,
Northern Ireland,95TT10W1,3,,,
Northern Ireland,95TT11S1,5,,,
Northern Ireland,95TT11S2,3,,,
Northern Ireland,95TT12W1,4,,,
Northern Ireland,95TT13S1,3,,,
Northern Ireland,95TT13S2,4,,,
Northern Ireland,95TT14W1,5,,,
Northern Ireland,95TT15W1,4,,,
Northern Ireland,95TT16W1,5,,,
Northern Ireland,95UU06W1,5,,,
Northern Ireland,95UU09W1,4,,,
Northern Ireland,95UU14W1,2,,,
Northern Ireland,95UU99C1,4,,,
Northern Ireland,95UU99C2,2,,,
Northern Ireland,95UU99C3,5,,,
Northern Ireland,95UU99C4,3,,,
Northern Ireland,95UU99C5,5,,,
Northern Ireland,95UU99C6,3,,,
Northern Ireland,95VV01S1,3,,,
Northern Ireland,95VV01S2,2,,,
Northern Ireland,95VV02W1,2,,,
Northern Ireland,95VV03W1,2,,,
Northern Ireland,95VV04W1,4,,,
Northern Ireland,95VV05S1,5,,,
Northern Ireland,95VV05S2,4,,,
Northern Ireland,95VV06W1,5,,,
Northern Ireland,95VV07S1,2,,,
Northern Ireland,95VV07S2,5,,,
Northern Ireland,95VV08W1,3,,,
Northern Ireland,95VV09W1,2,,,
Northern Ireland,95VV10S1,2,,,
Northern Ireland,95VV10S2,1,,,
Northern Ireland,95VV11S1,5,,,
Northern Ireland,95VV11S2,4,,,
Northern Ireland,95VV12S1,3,,,
Northern Ireland,95VV12S2,1,,,
Northern Ireland,95VV13S1,3,,,
Northern Ireland,95VV13S2,5,,,
Northern Ireland,95VV14S1,3,,,
Northern Ireland,95VV14S2,5,,,
Northern Ireland,95VV15S1,2,,,
Northern Ireland,95VV15S2,5,,,
Northern Ireland,95VV16W1,5,,,
Northern Ireland,95VV17S1,4,,,
Northern Ireland,95VV17S2,4,,,
Northern Ireland,95VV18S1,3,,,
Northern Ireland,95VV18S2,1,,,
Northern Ireland,95VV19S1,4,,,
Northern Ireland,95VV19S2,2,,,
Northern Ireland,95VV20W1,4,,,
Northern Ireland,95VV21S1,3,,,
Northern Ireland,95VV21S2,4,,,
Northern Ireland,95VV22W1,3,,,
Northern Ireland,95VV23W1,5,,,
Northern Ireland,95VV24S1,5,,,
Northern Ireland,95VV24S2,3,,,
Northern Ireland,95VV25S1,3,,,
Northern Ireland,95VV25S2,5,,,
Northern Ireland,95VV26W1,3,,,
Northern Ireland,95VV27W1,2,,,
Northern Ireland,95VV28S1,4,,,
Northern Ireland,95VV28S2,5,,,
Northern Ireland,95VV29W1,3,,,
Northern Ireland,95VV30S1,5,,,
Northern Ireland,95VV30S2,2,,,
Northern Ireland,95WW01S1,5,,,
Northern Ireland,95WW01S2,1,,,
Northern Ireland,95WW02S1,4,,,
Northern Ireland,95WW02S2,4,,,
Northern Ireland,95WW03S1,1,,,
Northern Ireland,95WW03S2,2,,,
Northern Ireland,95WW04S1,2,,,
Northern Ireland,95WW04S2,3,,,
Northern Ireland,95WW05S1,5,,,
Northern Ireland,95WW05S2,2,,,
Northern Ireland,95WW06S1,5,,,
Northern Ireland,95WW06S2,5,,,
Northern Ireland,95WW07S1,5,,,
Northern Ireland,95WW07S2,3,,,
Northern Ireland,95WW08S1,3,,,
Northern Ireland,95WW08S2,5,,,
Northern Ireland,95WW09S1,1,,,
Northern Ireland,95WW09S2,5,,,
Northern Ireland,95WW10S1,1,,,
Northern Ireland,95WW10S2,1,,,
Northern Ireland,95WW11S1,5,,,
Northern Ireland,95WW11S2,5,,,
Northern Ireland,95WW12W1,1,,,
Northern Ireland,95WW13S1,4,,,
Northern Ireland,95WW13S2,4,,,
Northern Ireland,95WW14W1,1,,,
Northern Ireland,95WW15S1,3,,,
Northern Ireland,95WW15S2,4,,,
Northern Ireland,95WW16S1,3,,,
Northern Ireland,95WW16S2,1,,,
Northern Ireland,95WW17W1,2,,,
Northern Ireland,95WW18W1,2,,,
Northern Ireland,95WW19S1,4,,,
Northern Ireland,95WW19S2,5,,,
Northern Ireland,95WW19S3,5,,,
Northern Ireland,95WW20S1,5,,,
Northern Ireland,95WW20S2,3,,,
Northern Ireland,95WW20S3,5,,,
Northern Ireland,95WW21S1,1,,,
Northern Ireland,95WW21S2,1,,,
Northern Ireland,95WW22S1,5,,,
Northern Ireland,95WW22S2,1,,,
Northern Ireland,95WW23S1,3,,,
Northern Ireland,95WW23S2,5,,,
Northern Ireland,95WW24S1,2,,,
Northern Ireland,95WW24S2,1,,,
Northern Ireland,95WW25W1,4,,,
Northern Ireland,95XX01S1,5,,,
Northern Ireland,95XX01S2,5,,,
Northern Ireland,95XX01S3,5,,,
Northern Ireland,95XX02W1,5,,,
Northern Ireland,95XX03S1,4,,,
Northern Ireland,95XX03S2,5,,,
Northern Ireland,95XX04S1,4,,,
Northern Ireland,95XX04S2,3,,,
Northern Ireland,95XX05W1,3,,,
Northern Ireland,95XX06S1,2,,,
Northern Ireland,95XX06S2,3,,,
Northern Ireland,95XX07S1,5,,,
Northern Ireland,95XX07S2,5,,,
Northern Ireland,95XX08S1,5,,,
Northern Ireland,95XX08S2,5,,,
Northern Ireland,95XX09S1,4,,,
Northern Ireland,95XX09S2,5,,,
Northern Ireland,95XX10S1,1,,,
Northern Ireland,95XX10S2,3,,,
Northern Ireland,95XX10S3,1,,,
Northern Ireland,95XX11S1,3,,,
Northern Ireland,95XX11S2,1,,,
Northern Ireland,95XX11S3,1,,,
Northern Ireland,95XX12W1,5,,,
Northern Ireland,95XX13W1,5,,,
Northern Ireland,95XX14W1,5,,,
Northern Ireland,95XX15W1,1,,,
Northern Ireland,95XX16W1,5,,,
Northern Ireland,95XX17S1,1,,,
Northern Ireland,95XX17S2,5,,,
Northern Ireland,95XX18W1,5,,,
Northern Ireland,95XX19W1,5,,,
Northern Ireland,95XX20S1,2,,,
Northern Ireland,95XX20S2,1,,,
Northern Ireland,95XX21W1,5,,,
Northern Ireland,95XX22W1,4,,,
Northern Ireland,95XX23W1,1,,,
Northern Ireland,95XX24S1,5,,,
Northern Ireland,95XX24S2,3,,,
Northern Ireland,95XX25W1,1,,,
Northern Ireland,95YY01W1,4,,,
Northern Ireland,95YY02W1,5,,,
Northern Ireland,95YY03W1,4,,,
Northern Ireland,95YY04W1,4,,,
Northern Ireland,95YY05W1,5,,,
Northern Ireland,95YY06W1,4,,,
Northern Ireland,95YY07W1,5,,,
Northern Ireland,95YY08W1,4,,,
Northern Ireland,95YY09W1,5,,,
Northern Ireland,95YY10W1,5,,,
Northern Ireland,95YY11W1,3,,,
Northern Ireland,95YY12W1,5,,,
Northern Ireland,95YY13S1,4,,,
Northern Ireland,95YY13S2,3,,,
Northern Ireland,95YY14S1,4,,,
Northern Ireland,95YY14S2,5,,,
Northern Ireland,95YY15S1,4,,,
Northern Ireland,95YY15S2,2,,,
Northern Ireland,95YY16W1,4,,,
Northern Ireland,95YY17W1,4,,,
Northern Ireland,95YY18W1,4,,,
Northern Ireland,95YY19W1,3,,,
Northern Ireland,95YY20W1,5,,,
Northern Ireland,95YY21W1,4,,,
Northern Ireland,95ZZ01W1,3,,,
Northern Ireland,95ZZ02W1,3,,,
Northern Ireland,95ZZ03W1,4,,,
Northern Ireland,95ZZ04W1,4,,,
Northern Ireland,95ZZ05W1,5,,,
Northern Ireland,95ZZ06W1,2,,,
Northern Ireland,95ZZ07W1,3,,,
Northern Ireland,95ZZ08W1,4,,,
Northern Ireland,95ZZ09W1,2,,,
Northern Ireland,95ZZ10W1,4,,,
Northern Ireland,95ZZ11W1,5,,,
Northern Ireland,95ZZ12W1,3,,,
Northern Ireland,95ZZ13W1,2,,,
Northern Ireland,95ZZ14S1,2,,,
Northern Ireland,95ZZ14S2,5,,,
Northern Ireland,95ZZ15W1,3,,,
Northern Ireland,95ZZ16S1,2,,,
Northern Ireland,95ZZ16S2,4,,,
Scotland,S02000001,4,70,175,40.8%
Scotland,S02000002,3,95,250,38.1%
Scotland,S02000003,5,160,280,57.2%
Scotland,S02000004,5,380,475,80.1%
Scotland,S02000005,4,75,185,40.8%
Scotland,S02000006,2,70,235,30.0%
Scotland,S02000007,5,235,325,71.9%
Scotland,S02000008,3,95,295,31.7%
Scotland,S02000009,5,125,145,87.4%
Scotland,S02000010,5,115,170,68.3%
Scotland,S02000011,5,130,180,72.5%
Scotland,S02000012,2,65,215,29.2%
Scotland,S02000013,5,135,185,72.6%
Scotland,S02000014,5,170,250,67.0%
Scotland,S02000015,1,55,250,21.6%
Scotland,S02000016,5,55,105,54.8%
Scotland,S02000017,5,180,225,81.2%
Scotland,S02000018,4,65,145,45.8%
Scotland,S02000019,5,200,235,86.4%
Scotland,S02000020,3,55,170,33.0%
Scotland,S02000021,5,90,160,56.3%
Scotland,S02000022,3,90,255,34.4%
Scotland,S02000023,5,195,260,74.6%
Scotland,S02000024,2,80,315,25.6%
Scotland,S02000025,1,60,250,23.1%
Scotland,S02000026,4,50,105,45.9%
Scotland,S02000027,2,55,220,25.0%
Scotland,S02000028,3,80,210,38.1%
Scotland,S02000029,2,60,235,25.0%
Scotland,S02000030,1,40,265,15.2%
Scotland,S02000031,1,65,420,15.5%
Scotland,S02000032,1,30,165,19.3%
Scotland,S02000033,4,85,195,43.7%
Scotland,S02000034,1,65,375,17.0%
Scotland,S02000035,5,180,315,56.4%
Scotland,S02000036,2,50,160,30.0%
Scotland,S02000037,1,30,265,10.9%
Scotland,S02000038,2,50,175,27.6%
Scotland,S02000039,3,40,120,32.2%
Scotland,S02000040,5,115,220,53.1%
Scotland,S02000041,4,75,175,44.1%
Scotland,S02000042,5,95,155,60.4%
Scotland,S02000043,3,70,200,36.1%
Scotland,S02000044,5,200,365,54.8%
Scotland,S02000045,5,130,250,53.0%
Scotland,S02000046,5,90,175,51.5%
Scotland,S02000047,3,105,290,36.5%
Scotland,S02000048,4,120,240,49.3%
Scotland,S02000049,3,105,270,39.1%
Scotland,S02000050,4,160,345,46.7%
Scotland,S02000051,4,125,295,41.7%
Scotland,S02000052,5,255,490,52.2%
Scotland,S02000053,5,145,260,55.6%
Scotland,S02000054,5,190,355,53.1%
Scotland,S02000055,5,110,205,52.1%
Scotland,S02000056,5,75,140,54.8%
Scotland,S02000057,5,300,500,60.2%
Scotland,S02000058,4,160,375,43.0%
Scotland,S02000059,4,120,270,44.4%
Scotland,S02000060,5,205,370,55.7%
Scotland,S02000061,5,200,330,60.9%
Scotland,S02000062,5,130,260,49.6%
Scotland,S02000063,5,155,275,56.4%
Scotland,S02000064,5,205,345,58.5%
Scotland,S02000065,4,135,285,48.0%
Scotland,S02000066,4,200,410,48.3%
Scotland,S02000067,3,80,220,35.7%
Scotland,S02000068,5,195,365,52.8%
Scotland,S02000069,4,150,325,47.0%
Scotland,S02000070,4,110,250,44.2%
Scotland,S02000071,4,105,260,40.6%
Scotland,S02000072,3,125,380,33.0%
Scotland,S02000073,5,175,315,56.3%
Scotland,S02000074,5,175,310,55.8%
Scotland,S02000075,5,205,395,52.1%
Scotland,S02000076,4,120,250,48.7%
Scotland,S02000077,4,155,320,48.1%
Scotland,S02000078,4,210,425,49.2%
Scotland,S02000079,4,130,290,45.5%
Scotland,S02000080,4,125,290,42.9%
Scotland,S02000081,4,120,265,45.2%
Scotland,S02000082,3,95,295,33.1%
Scotland,S02000083,3,85,265,32.8%
Scotland,S02000084,4,100,205,48.7%
Scotland,S02000085,2,80,315,25.9%
Scotland,S02000086,2,35,145,25.4%
Scotland,S02000087,4,105,255,40.1%
Scotland,S02000088,1,85,365,22.9%
Scotland,S02000089,2,65,205,31.6%
Scotland,S02000090,3,75,195,37.9%
Scotland,S02000091,3,85,240,36.2%
Scotland,S02000092,3,180,470,38.3%
Scotland,S02000093,4,120,300,40.1%
Scotland,S02000094,2,60,210,27.9%
Scotland,S02000095,4,110,265,42.0%
Scotland,S02000096,3,80,215,38.3%
Scotland,S02000097,3,75,200,38.3%
Scotland,S02000098,4,185,440,42.0%
Scotland,S02000099,3,75,240,32.1%
Scotland,S02000100,3,100,255,39.1%
Scotland,S02000101,5,145,290,49.4%
Scotland,S02000102,1,35,200,18.6%
Scotland,S02000103,3,60,150,38.8%
Scotland,S02000104,1,40,185,22.7%
Scotland,S02000105,5,105,180,57.5%
Scotland,S02000106,5,165,280,59.4%
Scotland,S02000107,3,110,290,38.5%
Scotland,S02000108,5,200,360,55.3%
Scotland,S02000109,5,175,305,57.3%
Scotland,S02000110,5,245,455,53.5%
Scotland,S02000111,5,115,225,51.5%
Scotland,S02000112,3,85,255,32.8%
Scotland,S02000113,3,140,385,36.6%
Scotland,S02000114,2,100,345,28.9%
Scotland,S02000115,2,80,315,25.2%
Scotland,S02000116,4,150,315,48.0%
Scotland,S02000117,4,80,185,42.4%
Scotland,S02000118,3,120,320,37.6%
Scotland,S02000119,3,95,280,33.4%
Scotland,S02000120,4,120,250,47.5%
Scotland,S02000121,3,75,210,36.2%
Scotland,S02000122,4,200,460,43.5%
Scotland,S02000123,4,190,415,46.3%
Scotland,S02000124,2,95,325,28.7%
Scotland,S02000125,3,125,345,36.3%
Scotland,S02000126,2,55,200,28.0%
Scotland,S02000127,3,80,245,33.3%
Scotland,S02000128,4,85,205,41.1%
Scotland,S02000129,4,95,220,44.4%
Scotland,S02000130,2,70,270,26.4%
Scotland,S02000131,4,155,350,44.5%
Scotland,S02000132,4,70,155,44.7%
Scotland,S02000133,3,100,265,37.0%
Scotland,S02000134,2,80,295,27.8%
Scotland,S02000135,4,135,305,44.9%
Scotland,S02000136,3,130,365,35.2%
Scotland,S02000137,4,60,125,46.5%
Scotland,S02000138,4,135,280,47.9%
Scotland,S02000139,5,90,155,57.2%
Scotland,S02000140,5,165,300,54.6%
Scotland,S02000141,5,185,290,64.3%
Scotland,S02000142,3,100,280,36.0%
Scotland,S02000143,4,140,330,41.7%
Scotland,S02000144,5,120,200,59.6%
Scotland,S02000145,5,110,220,50.4%
Scotland,S02000146,4,60,155,39.7%
Scotland,S02000147,4,80,185,42.5%
Scotland,S02000148,2,110,435,25.1%
Scotland,S02000149,4,55,125,45.1%
Scotland,S02000150,4,115,295,39.9%
Scotland,S02000151,5,110,220,49.5%
Scotland,S02000152,3,100,285,35.0%
Scotland,S02000153,1,70,340,21.2%
Scotland,S02000154,4,130,295,45.1%
Scotland,S02000155,2,100,370,26.6%
Scotland,S02000156,3,95,295,32.6%
Scotland,S02000157,4,90,230,39.8%
Scotland,S02000158,3,45,130,35.9%
Scotland,S02000159,2,90,300,29.3%
Scotland,S02000160,4,60,135,46.5%
Scotland,S02000161,5,205,270,74.6%
Scotland,S02000162,4,155,350,43.9%
Scotland,S02000163,4,140,320,43.5%
Scotland,S02000164,2,65,240,27.8%
Scotland,S02000165,2,65,210,31.1%
Scotland,S02000166,4,135,320,42.2%
Scotland,S02000167,3,115,300,38.5%
Scotland,S02000168,3,115,310,37.3%
Scotland,S02000169,2,100,325,30.9%
Scotland,S02000170,2,65,200,31.3%
Scotland,S02000171,4,90,200,44.9%
Scotland,S02000172,3,85,230,37.1%
Scotland,S02000173,4,120,290,41.9%
Scotland,S02000174,3,70,180,38.3%
Scotland,S02000175,5,105,205,51.4%
Scotland,S02000176,2,100,365,27.4%
Scotland,S02000177,3,125,390,32.6%
Scotland,S02000178,3,135,385,35.2%
Scotland,S02000179,2,95,310,31.5%
Scotland,S02000180,4,105,240,42.6%
Scotland,S02000181,4,100,210,46.3%
Scotland,S02000182,4,75,185,41.0%
Scotland,S02000183,3,95,250,38.6%
Scotland,S02000184,4,125,280,43.9%
Scotland,S02000185,3,140,370,38.3%
Scotland,S02000186,3,100,280,35.3%
Scotland,S02000187,1,45,310,13.8%
Scotland,S02000188,3,85,235,35.9%
Scotland,S02000189,1,40,205,20.2%
Scotland,S02000190,3,90,255,35.0%
Scotland,S02000191,4,100,210,47.2%
Scotland,S02000192,3,95,255,37.5%
Scotland,S02000193,4,120,300,40.1%
Scotland,S02000194,3,110,325,34.1%
Scotland,S02000195,4,100,235,42.2%
Scotland,S02000196,4,105,245,43.5%
Scotland,S02000197,4,130,275,46.6%
Scotland,S02000198,2,95,350,27.6%
Scotland,S02000199,4,70,160,43.8%
Scotland,S02000200,5,250,340,72.8%
Scotland,S02000201,2,110,380,29.0%
Scotland,S02000202,4,85,195,42.7%
Scotland,S02000203,4,80,195,40.0%
Scotland,S02000204,5,105,170,62.3%
Scotland,S02000205,2,60,210,28.7%
Scotland,S02000206,5,150,215,69.0%
Scotland,S02000207,5,90,185,50.3%
Scotland,S02000208,3,90,240,38.5%
Scotland,S02000209,4,60,145,40.2%
Scotland,S02000210,5,95,135,71.9%
Scotland,S02000211,3,75,205,36.1%
Scotland,S02000212,5,150,260,58.1%
Scotland,S02000213,5,155,220,69.2%
Scotland,S02000214,2,85,320,25.9%
Scotland,S02000215,5,105,160,64.8%
Scotland,S02000216,1,40,180,22.2%
Scotland,S02000217,3,70,205,33.3%
Scotland,S02000218,1,40,200,19.4%
Scotland,S02000219,4,105,245,43.3%
Scotland,S02000220,5,150,250,58.8%
Scotland,S02000221,1,70,355,19.1%
Scotland,S02000222,3,70,220,32.6%
Scotland,S02000223,3,85,260,33.4%
Scotland,S02000224,5,210,370,57.1%
Scotland,S02000225,1,80,345,22.7%
Scotland,S02000226,1,85,455,18.6%
Scotland,S02000227,3,105,280,37.8%
Scotland,S02000228,2,95,325,29.0%
Scotland,S02000229,2,110,380,29.1%
Scotland,S02000230,1,40,245,17.3%
Scotland,S02000231,2,75,265,28.5%
Scotland,S02000232,3,60,180,34.5%
Scotland,S02000233,2,45,195,24.0%
Scotland,S02000234,2,105,375,28.4%
Scotland,S02000235,4,155,380,40.1%
Scotland,S02000236,4,105,240,44.7%
Scotland,S02000237,3,135,405,33.4%
Scotland,S02000238,1,50,245,20.6%
Scotland,S02000239,5,130,255,50.3%
Scotland,S02000240,1,75,375,19.4%
Scotland,S02000241,3,90,255,35.1%
Scotland,S02000242,3,115,345,33.9%
Scotland,S02000243,3,45,130,36.5%
Scotland,S02000244,3,110,345,31.7%
Scotland,S02000245,5,210,355,58.9%
Scotland,S02000246,3,85,225,38.1%
Scotland,S02000247,4,85,185,47.0%
Scotland,S02000248,5,120,185,64.0%
Scotland,S02000249,4,75,180,42.6%
Scotland,S02000250,4,75,160,45.7%
Scotland,S02000251,4,80,205,39.5%
Scotland,S02000252,2,55,210,26.9%
Scotland,S02000253,3,105,295,35.8%
Scotland,S02000254,2,85,320,26.1%
Scotland,S02000255,5,195,370,52.5%
Scotland,S02000256,4,135,285,47.8%
Scotland,S02000257,5,220,335,66.4%
Scotland,S02000258,3,55,140,38.4%
Scotland,S02000259,5,140,275,51.7%
Scotland,S02000260,4,155,325,48.7%
Scotland,S02000261,5,110,190,57.7%
Scotland,S02000262,5,180,305,58.5%
Scotland,S02000263,5,190,250,75.5%
Scotland,S02000264,5,245,380,64.1%
Scotland,S02000265,5,135,180,75.5%
Scotland,S02000266,5,130,180,73.0%
Scotland,S02000267,5,195,280,70.0%
Scotland,S02000268,5,240,405,59.1%
Scotland,S02000269,5,150,175,84.1%
Scotland,S02000270,5,240,390,61.1%
Scotland,S02000271,5,260,400,65.1%
Scotland,S02000272,5,200,250,80.4%
Scotland,S02000273,5,125,170,75.7%
Scotland,S02000274,5,140,255,55.6%
Scotland,S02000275,5,110,210,53.4%
Scotland,S02000276,5,200,330,61.0%
Scotland,S02000277,3,85,270,31.7%
Scotland,S02000278,5,175,245,71.0%
Scotland,S02000279,5,180,230,77.6%
Scotland,S02000280,4,85,205,42.1%
Scotland,S02000281,5,115,220,52.9%
Scotland,S02000282,5,155,200,77.2%
Scotland,S02000283,3,65,195,34.0%
Scotland,S02000284,4,135,285,47.1%
Scotland,S02000285,5,180,255,69.6%
Scotland,S02000286,5,165,315,52.8%
Scotland,S02000287,4,130,325,40.4%
Scotland,S02000288,5,215,345,61.5%
Scotland,S02000289,2,50,180,26.3%
Scotland,S02000290,1,85,530,16.2%
Scotland,S02000291,3,125,330,38.0%
Scotland,S02000292,4,150,305,48.9%
Scotland,S02000293,5,110,210,51.9%
Scotland,S02000294,3,90,270,33.2%
Scotland,S02000295,2,100,375,26.7%
Scotland,S02000296,4,75,175,43.0%
Scotland,S02000297,2,90,320,28.7%
Scotland,S02000298,4,115,275,41.2%
Scotland,S02000299,5,165,295,56.2%
Scotland,S02000300,1,65,290,21.8%
